"","DNUM_IC","ASUNTO","MESES_CONSUMO","IMPORTE_ACUMULADO","IMPORTE_ULTIMO_MES","ULTIMO_MES","TIPO_AMPARO"
"208",1002181929,128883,13,49433135.04,48213223.42,202412,"MAC"
"209",2000108848,120715,15,47787384.61,3180432.07,202508,"MAC"
"210",1000463515,128996,11,46536515.08,3876193.46,202509,"MAC"
"211",2001553220,121698,12,46518665.64,3876193.46,202509,"MAC"
"212",1002438396,138415,10,45457713.66,16645016.82,202510,"MAC"
"213",2002461469,129269,20,45100374.49,3319153.69,202510,"MAC"
"214",1002284951,125032,4,44817363.73,44731985.22,202406,"MAC"
"215",2003305966,117676,29,43507890.27,125701.24,202509,"MAC"
"216",2003740122,121907,12,42649299.92,3876193.46,202504,"MAC"
"217",1000057601,130372,11,42649032.1,3876193.46,202509,"MAC"
"218",2000514095,102225,10,42638128.06,3876193.46,202403,"MAC"
"219",1002716060,138586,13,41925773.63,54956.22,202508,"MAC"
"220",2002217592,91748,28,41448922.05,1521477.62,202509,"MAC"
"221",2000179802,132892,3,41149780.21,291323.64,202504,"MAC"
"222",2000576723,138640,1,40721301.96,40721301.96,202507,"MAC"
"223",2001162179,122571,24,40034053.49,387304.56,202505,"MAC"
"224",2003187283,122984,20,39200492.4,2367174.18,202509,"MAC"
"225",2000204724,110778,21,38363653.09,1611905.08,202507,"MAC"
"226",1502358029,121682,15,35019774.16,4762167.4,202509,"MAC"
"227",2000304790,124550,13,34917137.72,3876193.46,202509,"MAC"
"228",2001469285,131054,26,33877610.49,309594.11,202509,"MAC"
"229",2000950683,114267,25,33702936.95,106899.88,202510,"MAC"
"230",2000912865,138294,10,32560419.56,736656.12,202509,"MAC"
"231",1002260557,129797,11,32308974.63,15586379.55,202501,"MAC"
"232",1002811531,132594,7,31477446.1,6444033.33,202509,"MAC"
"233",1000623724,122170,15,30323327.02,1611905.08,202509,"MAC"
"234",2000233729,111973,16,30317807.59,3497521.72,202509,"MAC"
"235",1003013561,141181,10,30296230.72,10932391.38,202510,"MAC"
"236",2000306350,115165,12,29934250.93,1140417.38,202407,"MAC"
"237",1500425021,111151,5,29779938.04,19222.11,202310,"MAC"
"238",2000451520,114104,20,28825472.29,999851.05,202509,"MAC"
"239",1002401900,139799,26,28139301.66,213543.83,202508,"MAC"
"240",1002685770,140868,15,27751775.19,16818.76,202510,"MAC"
"241",1002745486,102216,11,27631410.07,3980281.17,202507,"MAC"
"242",1003648542,130516,10,27160535,3876193.46,202509,"MAC"
"243",1500237718,113512,7,27029638.48,3508.71,202312,"MAC"
"244",1002925393,100703,2,26866593.53,10329556.78,202401,"MAC"
"245",2000682606,135119,10,25660569.84,6241616.68,202508,"MAC"
"246",1002713168,134432,6,24861130.21,6234933.43,202508,"MAC"
"247",1500684817,123678,8,24205772.27,3157.06,202502,"MAC"
